dataId,AdministradorFundo,AtivoDisponivel,Carencia,CarteiraCNPJ,CNPJAdministrador,DataDeVencimento,DescontoIR,DescricaoCarencia,DescricaoClasse,DescricaoCotizacaoAplicacao,DescricaoCotizacaoResgate,DescricaoEmissor,DescricaoIndexador,DescricaoIndiceBenchmark,DescricaoLiquidacaoAplicacao,DescricaoLiquidacaoResgate,DescricaoProduto,DescricaoTaxaPerformance,DescricaoTributacaoProduto,DescricaoTributacao,DiasUteisParaResgate,DiasVencimento,FamiliaCarteira,FiltroValorMinimo,GestorFundo,ProdutoId,Inativo,LucroMesAnterior,NDiasCotizacaoAplicacao,NomeAdministrador,NomeCompleto,NomeEmissor,NomeIndexador,NomeInvestimento,NomeProduto,Nome,NrDiasUteisCotizacaoResgate,NrDiasUteisLiqFAplicacao,NrDiasUteisLiqFResgate,PatrimonioLiquidoAtual,PercentualIndexador,PrazoCarencia,PrazoDias,PrecoUnitario,QuantidadeAvaliacoes,QuantidadeConsumida,Rentabilidade12Meses,RentabilidadeAno,RentabilidadeFundoUltimos36Meses,RentabilidadeIndiceBenchmarkAno,RentabilidadeIndiceBenchmarkMes,RentabilidadeIndiceBenchmarkUlt12,RentabilidadeIndiceBenchmarkUlt36,RentabilidadeInicioFundo,RentabilidadeMes,RentabilidadeUltimos12Meses,ResgateDias,RiscoAtivo,SaldoMinimoPermanencia,SeFGCAtivo,SeIRAtivo,StatusCarteira,Status,TaxaAdministracaoFixa,TaxaAdministracaoMaxima,TaxaAdministracaoMinima,TaxaAdm,TaxaCliente,TaxaEmissao,TaxaNegociada360,TaxaPerformance,TaxaPreCliente,TaxaPreEmissao,Taxa,TipoCarteira,TipoCota,TipoIndexador,TipoRegimeCondomonioCVM,Tributacao,ValorMinimoAplicacaoAdicional,ValorMinimoAplicaInicial,ValorMinimoResgate,ValorMinimo,Vencimento
0,,False,2020-11-16,,,2020-11-16,20,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,283,,5000,,a0W3u000009PBddEAG,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,377,377,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,0.9,1.1,0,,,IPCA,,,,,,5000,2020-11-16
1,,False,2021-11-16,,,2021-11-16,17.5,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,648,,5000,,a0W3u000009PBdeEAG,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,742,742,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,1.21,1.41,0,,,IPCA,,,,,,5000,2021-11-16
2,,False,2022-11-16,,,2022-11-16,15,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,1013,,5000,,a0W3u000009PBdfEAG,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,1107,1107,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,2.04,2.24,0,,,IPCA,,,,,,5000,2022-11-16
3,,False,2024-11-18,,,2024-11-18,15,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,1746,,5000,,a0W3u000009PBdgEAG,False,,,,,BANCO BMG S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,1840,1840,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,2.89,3.09,0,,,IPCA,,,,,,5000,2024-11-18
4,,False,2020-11-03,,,2020-11-03,20,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,PRE,,No dia,No dia,CDB PRE 1,,,15%,,270,,5000,,a0W3u000009PBdhEAG,False,,,,,BANCO BMG S.A.,PRÉ,CDB,CDB PRE 1,,,,,,0,361,361,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,4.71,4.91,0,,,Pré fixado,,,,,,5000,2020-11-03
5,,False,2021-10-26,,,2021-10-26,17.5,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,PRE,,No dia,No dia,CDB PRE 1,,,15%,,627,,5000,,a0W3u000009PBdiEAG,False,,,,,BANCO BMG S.A.,PRÉ,CDB,CDB PRE 1,,,,,,0,721,721,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.45,5.65,0,,,Pré fixado,,,,,,5000,2021-10-26
6,,False,2022-10-20,,,2022-10-20,15,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,PRE,,No dia,No dia,CDB PRE 1,,,15%,,986,,5000,,a0W3u000009PBdjEAG,False,,,,,BANCO BMG S.A.,PRÉ,CDB,CDB PRE 1,,,,,,0,1080,1080,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.01,6.21,0,,,Pré fixado,,,,,,5000,2022-10-20
7,,False,2024-10-09,,,2024-10-09,15,No venc.,PRIVADO,No dia,No dia,BANCO BMG S.A.,PRE,,No dia,No dia,CDB PRE 1,,,15%,,1706,,5000,,a0W3u000009PBdkEAG,False,,,,,BANCO BMG S.A.,PRÉ,CDB,CDB PRE 1,,,,,,0,1800,1800,1,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.79,6.99,0,,,Pré fixado,,,,,,5000,2024-10-09
8,,False,2022-11-07,,,2022-11-07,15,No venc.,PRIVADO,No dia,No dia,BANCO FIBRA S.A.,IPCA,,No dia,No dia,CDB POS,,,15%,,1004,,10000,,a0W3u000009PBdlEAG,False,,,,,BANCO FIBRA S.A.,+ IPCA,CDB,CDB POS,,,,,,0,1096,1096,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,2.4,2.6,0,,,IPCA,,,,,,10000,2022-11-07
9,,False,2023-11-06,,,2023-11-06,15,No venc.,PRIVADO,No dia,No dia,BANCO FIBRA S.A.,IPCA,,No dia,No dia,CDB POS,,,15%,,1368,,10000,,a0W3u000009PBdmEAG,False,,,,,BANCO FIBRA S.A.,+ IPCA,CDB,CDB POS,,,,,,0,1461,1461,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,2.82,3.05,0,,,IPCA,,,,,,10000,2023-11-06
10,,False,2024-11-05,,,2024-11-05,15,No venc.,PRIVADO,No dia,No dia,BANCO FIBRA S.A.,IPCA,,No dia,No dia,CDB POS,,,15%,,1733,,10000,,a0W3u000009PBdnEAG,False,,,,,BANCO FIBRA S.A.,+ IPCA,CDB,CDB POS,,,,,,0,1827,1827,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,3.25,3.45,0,,,IPCA,,,,,,10000,2024-11-05
11,,False,2025-11-05,,,2025-11-05,15,No venc.,PRIVADO,No dia,No dia,BANCO FIBRA S.A.,IPCA,,No dia,No dia,CDB POS,,,15%,,2098,,10000,,a0W3u000009PBdoEAG,False,,,,,BANCO FIBRA S.A.,+ IPCA,CDB,CDB POS,,,,,,0,2192,2192,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,3.5,3.7,0,,,IPCA,,,,,,10000,2025-11-05
12,,False,2022-02-07,,,2022-02-07,15,No venc.,PRIVADO,No dia,No dia,BANCO FIBRA S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,731,,10000,,a0W3u000009PBdpEAG,False,,,,,BANCO FIBRA S.A.,PRÉ,CDB,CDB PRE,,,,,,0,731,731,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.75,5.95,0,,,Pré fixado,,,,,,10000,2022-02-07
13,,False,2022-11-07,,,2022-11-07,15,No venc.,PRIVADO,No dia,No dia,BANCO FIBRA S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,1004,,10000,,a0W3u000009PBdqEAG,False,,,,,BANCO FIBRA S.A.,PRÉ,CDB,CDB PRE,,,,,,0,1096,1096,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.35,6.55,0,,,Pré fixado,,,,,,10000,2022-11-07
14,,False,2024-11-05,,,2024-11-05,15,No venc.,PRIVADO,No dia,No dia,BANCO FIBRA S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,1733,,10000,,a0W3u000009PBdrEAG,False,,,,,BANCO FIBRA S.A.,PRÉ,CDB,CDB PRE,,,,,,0,1826,1826,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,7.15,7.35,0,,,Pré fixado,,,,,,10000,2024-11-05
15,,False,2020-11-03,,,2020-11-03,20,No venc.,PRIVADO,No dia,No dia,OMNI BANCO S.A,PRE,,No dia,No dia,CDB PRE,,,15%,,270,,10000,,a0W3u000009PBdsEAG,False,,,,,OMNI BANCO S.A,PRÉ,CDB,CDB PRE,,,,,,0,361,361,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,4.71,4.91,0,,,Pré fixado,,,,,,10000,2020-11-03
16,,False,2021-10-26,,,2021-10-26,17.5,No venc.,PRIVADO,No dia,No dia,OMNI BANCO S.A,PRE,,No dia,No dia,CDB PRE,,,15%,,627,,10000,,a0W3u000009PBdtEAG,False,,,,,OMNI BANCO S.A,PRÉ,CDB,CDB PRE,,,,,,0,721,721,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.47,5.67,0,,,Pré fixado,,,,,,10000,2021-10-26
17,,False,2022-10-20,,,2022-10-20,15,No venc.,PRIVADO,No dia,No dia,OMNI BANCO S.A,PRE,,No dia,No dia,CDB PRE,,,15%,,986,,10000,,a0W3u000009PBduEAG,False,,,,,OMNI BANCO S.A,PRÉ,CDB,CDB PRE,,,,,,0,1080,1080,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.1,6.3,0,,,Pré fixado,,,,,,10000,2022-10-20
18,,False,2022-01-18,,,2022-01-18,17.5,No venc.,PRIVADO,No dia,No dia,BANCO ABC BRASIL,PRE,,No dia,No dia,LCA PRE,,,15%,,711,,10000,,a0W3u000009PBdvEAG,False,,,,,BANCO ABC BRASIL,PRÉ,LCA,LCA PRE,,,,,,0,720,720,1000,0,0,,,,,,,,,,,No venc.,0,,True,False,,,,,,,0,0,0,,4.55,4.75,0,,,Pré fixado,,,,,,10000,2022-01-18
19,,False,2022-10-21,,,2022-10-21,15,No venc.,PRIVADO,No dia,No dia,BANCO ABC BRASIL,PRE,,No dia,No dia,LCA PRE,,,15%,,987,,10000,,a0W3u000009PBdwEAG,False,,,,,BANCO ABC BRASIL,PRÉ,LCA,LCA PRE,,,,,,0,1080,1080,1000,0,0,,,,,,,,,,,No venc.,0,,True,False,,,,,,,0,0,0,,5.05,5.25,0,,,Pré fixado,,,,,,10000,2022-10-21
20,,False,2020-11-05,,,2020-11-05,20,No venc.,PRIVADO,No dia,No dia,BANCO PINE S.A.,IPCA,,No dia,No dia,CDB POS,,,15%,,272,,5000,,a0W3u000009PBdxEAG,False,,,,,BANCO PINE S.A.,+ IPCA,CDB,CDB POS,,,,,,0,366,366,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,0.49,0.69,0,,,IPCA,,,,,,5000,2020-11-05
21,,False,2021-11-05,,,2021-11-05,17.5,No venc.,PRIVADO,No dia,No dia,BANCO PINE S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,637,,5000,,a0W3u000009PBdyEAG,False,,,,,BANCO PINE S.A.,PRÉ,CDB,CDB PRE,,,,,,0,731,731,1000,0,0,,,,,,,,,,,No venc.,3,,True,True,,,,,,,100,100,0,,1.57,1.77,0,,,Pré fixado,,,,,,5000,2021-11-05
22,,False,2020-11-03,,,2020-11-03,20,No venc.,PRIVADO,No dia,No dia,BANCO PINE S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,270,,5000,,a0W3u000009PBdzEAG,False,,,,,BANCO PINE S.A.,PRÉ,CDB,CDB PRE,,,,,,0,361,361,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,4.52,4.72,0,,,Pré fixado,,,,,,5000,2020-11-03
23,,False,2021-10-26,,,2021-10-26,17.5,No venc.,PRIVADO,No dia,No dia,BANCO PINE S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,627,,5000,,a0W3u000009PBe0EAG,False,,,,,BANCO PINE S.A.,PRÉ,CDB,CDB PRE,,,,,,0,721,721,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.71,5.91,0,,,Pré fixado,,,,,,5000,2021-10-26
24,,False,2021-10-26,,,2021-10-26,17.5,No venc.,PRIVADO,No dia,No dia,BANCO M�XIMA S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,627,,1000,,a0W3u000009PBe1EAG,False,,,,,BANCO M�XIMA S.A.,PRÉ,CDB,CDB PRE,,,,,,0,721,721,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.95,5.95,0,,,Pré fixado,,,,,,1000,2021-10-26
25,,False,2020-11-03,,,2020-11-03,20,No venc.,PRIVADO,No dia,No dia,BANCO AGIBANK S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,270,,1000,,a0W3u000009PBe2EAG,False,,,,,BANCO AGIBANK S.A.,PRÉ,CDB,CDB PRE,,,,,,0,361,361,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,4.86,5.06,0,,,Pré fixado,,,,,,1000,2020-11-03
26,,False,2021-10-26,,,2021-10-26,17.5,No venc.,PRIVADO,No dia,No dia,BANCO AGIBANK S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,627,,1000,,a0W3u000009PBe3EAG,False,,,,,BANCO AGIBANK S.A.,PRÉ,CDB,CDB PRE,,,,,,0,721,721,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.56,5.76,0,,,Pré fixado,,,,,,1000,2021-10-26
27,,False,2022-10-20,,,2022-10-20,15,No venc.,PRIVADO,No dia,No dia,BANCO M�XIMA S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,986,,1000,,a0W3u000009PBe4EAG,False,,,,,BANCO M�XIMA S.A.,PRÉ,CDB,CDB PRE,,,,,,0,1080,1080,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.55,6.55,0,,,Pré fixado,,,,,,1000,2022-10-20
28,,False,2022-10-20,,,2022-10-20,15,No venc.,PRIVADO,No dia,No dia,BANCO AGIBANK S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,986,,1000,,a0W3u000009PBe5EAG,False,,,,,BANCO AGIBANK S.A.,PRÉ,CDB,CDB PRE,,,,,,0,1080,1080,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,6.28,6.48,0,,,Pré fixado,,,,,,1000,2022-10-20
29,,False,2021-11-05,,,2021-11-05,17.5,No venc.,PRIVADO,No dia,No dia,BANCO ORIGINAL S.A,IPCA,,No dia,No dia,CDB POS,,,15%,,637,,5000,,a0W3u000009PBe6EAG,False,,,,,BANCO ORIGINAL S.A,+ IPCA,CDB,CDB POS,,,,,,0,731,731,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,1.56,1.76,0,,,IPCA,,,,,,5000,2021-11-05
30,,False,2024-10-09,,,2024-10-09,15,No venc.,PRIVADO,No dia,No dia,BANCO M�XIMA S.A.,PRE,,No dia,No dia,CDB PRE,,,15%,,1706,,1000,,a0W3u000009PBe7EAG,False,,,,,BANCO M�XIMA S.A.,PRÉ,CDB,CDB PRE,,,,,,0,1800,1800,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,7.55,7.55,0,,,Pré fixado,,,,,,1000,2024-10-09
31,,False,2021-10-26,,,2021-10-26,17.5,No venc.,PRIVADO,No dia,No dia,BANCO ORIGINAL S.A,PRE,,No dia,No dia,CDB PRE,,,15%,,627,,5000,,a0W3u000009PBe8EAG,False,,,,,BANCO ORIGINAL S.A,PRÉ,CDB,CDB PRE,,,,,,0,721,721,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,0,0,0,,5.49,5.69,0,,,Pré fixado,,,,,,5000,2021-10-26
32,,False,2020-02-13,,,2020-02-13,22.5,No venc.,PRIVADO,No dia,No dia,BANCO ORIGINAL S.A,PRE,,No dia,No dia,LCI PRE,,,15%,,6,,5000,,a0W3u000009PBe9EAG,False,,,,,BANCO ORIGINAL S.A,PRÉ,LCI,LCI PRE,,,,,,0,100,100,1000,0,0,,,,,,,,,,,No venc.,0,,True,False,,,,,,,0,0,0,,4.2,4.4,0,,,Pré fixado,,,,,,5000,2020-02-13
33,,False,2020-10-30,,,2020-10-30,20,No venc.,PRIVADO,No dia,No dia,BANCO BTG PACTUAL S.A.,PRE,,No dia,No dia,LCI PRE,,,15%,,266,,1000,,a0W3u000009PBeAEAW,False,,,,,BANCO BTG PACTUAL S.A.,PRÉ,LCI,LCI PRE,,,,,,0,360,360,1000,0,0,,,,,,,,,,,No venc.,0,,True,False,,,,,,,0,0,0,,3.99,4.19,0,,,Pré fixado,,,,,,1000,2020-10-30
34,,False,2021-10-25,,,2021-10-25,17.5,No venc.,PRIVADO,No dia,No dia,BANCO BTG PACTUAL S.A.,PRE,,No dia,No dia,LCI PRE,,,15%,,626,,1000,,a0W3u000009PBeBEAW,False,,,,,BANCO BTG PACTUAL S.A.,PRÉ,LCI,LCI PRE,,,,,,0,720,720,1000,0,0,,,,,,,,,,,No venc.,0,,True,False,,,,,,,0,0,0,,4.56,4.76,0,,,Pré fixado,,,,,,1000,2021-10-25
35,,False,2022-11-07,,,2022-11-07,15,No venc.,PRIVADO,No dia,No dia,BANCO M�XIMA S.A.,IPCA,,No dia,No dia,CDB POS 1,,,15%,,1004,,1000,,a0W3u000009PBeHEAW,False,,,,,BANCO M�XIMA S.A.,+ IPCA,CDB,CDB POS 1,,,,,,0,1098,1098,1000,0,0,,,,,,,,,,,No venc.,0,,True,True,,,,,,,100,100,0,,2.3,2.3,0,,,IPCA,,,,,,1000,2022-11-07
